land_size_m2,building_size_m2,bedrooms,bathrooms,city,price_in_rp
105.0,100.0,3.0,2.0, Bekasi,1250000000.0
182.0,300.0,5.0,5.0, Bekasi,1690000000.0
92.0,170.0,3.0,3.0, Bekasi,1620000000.0
84.0,47.0,2.0,1.0, Bekasi,735000000.0
92.0,160.0,3.0,3.0, Bekasi,1620000000.0
120.0,200.0,4.0,2.0, Bekasi,2100000000.0
92.0,48.0,2.0,1.0, Bekasi,799000000.0
160.0,285.0,4.0,2.0, Bekasi,3400000000.0
123.0,165.0,3.0,3.0, Bekasi,1250000000.0
77.0,109.0,3.0,2.0, Bekasi,1200000000.0
72.0,90.0,3.0,2.0, Bekasi,1050000000.0
160.0,205.0,3.0,2.0, Bekasi,1350000000.0
78.0,46.0,3.0,2.0, Bekasi,700000000.0
154.0,154.0,3.0,2.0, Bekasi,2200000000.0
75.0,55.0,2.0,1.0, Bekasi,703000000.0
72.0,108.0,3.0,2.0, Bekasi,1050000000.0
72.0,108.0,3.0,2.0, Bekasi,1050000000.0
66.0,87.0,3.0,2.0, Bekasi,950000000.0
136.0,150.0,3.0,3.0, Bekasi,2190000000.0
66.0,87.0,3.0,2.0, Bekasi,950000000.0
75.0,99.0,3.0,2.0, Bekasi,999000000.0
104.0,120.0,3.0,3.0, Bekasi,2100000000.0
72.0,42.0,2.0,1.0, Bekasi,545000000.0
80.0,121.0,3.0,2.0, Bekasi,725000000.0
60.0,29.0,2.0,1.0, Bekasi,463000000.0
98.0,165.0,4.0,2.0, Bekasi,575000000.0
108.0,135.0,2.0,1.0, Bekasi,320000000.0
72.0,45.0,2.0,1.0, Bekasi,468000000.0
60.0,29.0,2.0,1.0, Bekasi,168000000.0
90.0,75.0,3.0,1.0, Bekasi,875000000.0
72.0,36.0,2.0,1.0, Bekasi,496000000.0
53.0,63.0,3.0,2.0, Bekasi,779000000.0
90.0,69.0,3.0,1.0, Bekasi,800000000.0
90.0,69.0,3.0,1.0, Bekasi,800000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
186.0,200.0,4.0,3.0, Bekasi,1600000000.0
105.0,140.0,4.0,3.0, Bekasi,1150000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
60.0,40.0,2.0,2.0, Bekasi,42000000.0
180.0,150.0,2.0,2.0, Bekasi,1350000000.0
210.0,230.0,4.0,2.0, Bekasi,2200000000.0
118.0,71.0,3.0,3.0, Bekasi,2000000000.0
75.0,48.0,2.0,1.0, Bekasi,625000000.0
150.0,196.0,4.0,2.0, Bekasi,1000000000.0
939.0,500.0,36.0,36.0, Bekasi,9000000000.0
119.0,100.0,2.0,2.0, Bekasi,1600000000.0
72.0,36.0,2.0,1.0, Bekasi,680000000.0
72.0,45.0,2.0,1.0, Bekasi,490000000.0
97.0,54.0,3.0,1.0, Bekasi,665000000.0
97.0,54.0,2.0,1.0, Bekasi,445000000.0
97.0,54.0,2.0,1.0, Bekasi,570000000.0
119.0,84.0,2.0,1.0, Bekasi,1050000000.0
250.0,180.0,2.0,1.0, Bekasi,1500000000.0
97.0,54.0,3.0,1.0, Bekasi,665000000.0
97.0,54.0,3.0,1.0, Bekasi,665000000.0
66.0,87.0,3.0,2.0, Bekasi,950000000.0
72.0,60.0,2.0,1.0, Bekasi,650000000.0
120.0,60.0,3.0,1.0, Bekasi,975000000.0
97.0,70.0,2.0,1.0, Bekasi,799000000.0
216.0,300.0,3.0,4.0, Bekasi,3700000000.0
66.0,87.0,3.0,2.0, Bekasi,950000000.0
60.0,36.0,2.0,1.0, Bekasi,350000000.0
40.0,66.0,2.0,1.0, Bekasi,524000000.0
60.0,45.0,2.0,1.0, Bekasi,325000000.0
60.0,45.0,2.0,1.0, Bekasi,325000000.0
60.0,45.0,3.0,1.0, Bekasi,335000000.0
60.0,45.0,2.0,1.0, Bekasi,310000000.0
120.0,88.0,3.0,2.0, Bekasi,1500000000.0
120.0,88.0,3.0,2.0, Bekasi,1500000000.0
72.0,39.0,2.0,1.0, Bekasi,6640000000.0
36.0,61.0,2.0,1.0, Bekasi,327000000.0
36.0,61.0,2.0,1.0, Bekasi,332000000.0
60.0,40.0,2.0,1.0, Bekasi,395000000.0
60.0,29.0,2.0,1.0, Bekasi,168000000.0
72.0,72.0,2.0,1.0, Bekasi,480000000.0
60.0,40.0,2.0,1.0, Bekasi,395000000.0
62.0,62.0,2.0,1.0, Bekasi,360000000.0
72.0,45.0,2.0,1.0, Bekasi,350000000.0
60.0,75.0,3.0,2.0, Bekasi,370000000.0
60.0,45.0,2.0,1.0, Bekasi,320000000.0
55.0,60.0,2.0,1.0, Bekasi,853000000.0
60.0,36.0,2.0,1.0, Bekasi,550000000.0
162.0,230.0,4.0,4.0, Bekasi,2200000000.0
220.0,200.0,4.0,2.0, Bekasi,1950000000.0
90.0,85.0,3.0,2.0, Bekasi,1960000000.0
90.0,150.0,4.0,2.0, Bekasi,1150000000.0
120.0,84.0,2.0,3.0, Bekasi,1800000000.0
130.0,150.0,3.0,2.0, Bekasi,1400000000.0
130.0,150.0,3.0,2.0, Bekasi,1400000000.0
90.0,81.0,3.0,2.0, Bekasi,1250000000.0
255.0,280.0,5.0,3.0, Bekasi,3250000000.0
337.0,550.0,5.0,4.0, Bekasi,6750000000.0
343.0,400.0,5.0,5.0, Bekasi,5000000000.0
90.0,110.0,2.0,1.0, Bekasi,850000000.0
215.0,135.0,3.0,2.0, Bekasi,1850000000.0
105.0,90.0,2.0,2.0, Bekasi,1080000000.0
165.0,90.0,3.0,2.0, Bekasi,1200000000.0
73.0,36.0,2.0,1.0, Bekasi,390000000.0
225.0,211.0,6.0,4.0, Bekasi,2750000000.0
160.0,128.0,4.0,4.0, Bekasi,2750000000.0
153.0,150.0,3.0,2.0, Bekasi,590000000.0
220.0,123.0,3.0,2.0, Bekasi,990000000.0
216.0,96.0,2.0,1.0, Bekasi,2000000000.0
55.0,86.0,2.0,1.0, Bekasi,635000000.0
78.0,41.0,2.0,1.0, Bekasi,475000000.0
60.0,80.0,3.0,2.0, Bekasi,525000000.0
60.0,80.0,3.0,2.0, Bekasi,525000000.0
65.0,90.0,3.0,2.0, Bekasi,1100000000.0
216.0,100.0,2.0,1.0, Bekasi,2000000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
113.0,85.0,4.0,3.0, Bekasi,920000000.0
70.0,70.0,3.0,2.0, Bekasi,774000000.0
125.0,160.0,3.0,2.0, Bekasi,1700000000.0
209.0,300.0,4.0,4.0, Bekasi,2800000000.0
209.0,300.0,6.0,5.0, Bekasi,2800000000.0
500.0,450.0,6.0,4.0, Bekasi,6000000000.0
102.0,150.0,3.0,2.0, Bekasi,1700000000.0
209.0,300.0,6.0,5.0, Bekasi,2800000000.0
98.0,80.0,2.0,2.0, Bekasi,1250000000.0
181.0,180.0,3.0,3.0, Bekasi,2850000000.0
487.0,650.0,11.0,4.0, Bekasi,4150000000.000001
90.0,135.0,3.0,3.0, Bekasi,1800000000.0
90.0,70.0,2.0,2.0, Bekasi,1000000000.0
90.0,54.0,2.0,1.0, Bekasi,800000000.0
120.0,120.0,3.0,1.0, Bekasi,895000000.0
60.0,60.0,1.0,1.0, Bekasi,450000000.0
120.0,88.0,3.0,2.0, Bekasi,1500000000.0
90.0,54.0,2.0,1.0, Bekasi,590000000.0
90.0,54.0,2.0,1.0, Bekasi,590000000.0
120.0,88.0,2.0,1.0, Bekasi,1500000000.0
105.0,130.0,3.0,2.0, Bekasi,1250000000.0
105.0,130.0,3.0,2.0, Bekasi,1250000000.0
56.0,63.0,3.0,2.0, Bekasi,970000000.0
53.0,63.0,3.0,2.0, Bekasi,779000000.0
90.0,54.0,2.0,1.0, Bekasi,550000000.0
90.0,54.0,2.0,1.0, Bekasi,550000000.0
72.0,60.0,2.0,1.0, Bekasi,375000000.0
75.0,35.0,2.0,1.0, Bekasi,550000000.0
72.0,45.0,2.0,1.0, Bekasi,455000000.0
120.0,90.0,2.0,1.0, Bekasi,900000000.0
82.0,68.0,3.0,3.0, Bekasi,967000000.0
240.0,150.0,5.0,2.0, Bekasi,1500000000.0
200.0,180.0,5.0,4.0, Bekasi,2300000000.0
60.0,30.0,2.0,1.0, Bekasi,390000000.0
60.0,40.0,2.0,1.0, Bekasi,409000000.0
60.0,30.0,2.0,1.0, Bekasi,168000000.0
60.0,36.0,2.0,1.0, Bekasi,300000000.0
123.0,100.0,4.0,1.0, Bekasi,1650000000.0
120.0,100.0,3.0,2.0, Bekasi,450000000.0
150.0,100.0,3.0,2.0, Bekasi,900000000.0
50.0,100.0,3.0,2.0, Bekasi,750000000.0
72.0,90.0,3.0,2.0, Bekasi,1050000000.0
194.0,200.0,3.0,2.0, Bekasi,2500000000.0
52.0,45.0,2.0,1.0, Bekasi,300000000.0
90.0,150.0,4.0,2.0, Bekasi,795000000.0
72.0,108.0,3.0,2.0, Bekasi,1000000000.0
